name,city,date,time,rating,Sun,Moon,Ascendant,bio,link Astro-Databank,group
"Pfaff, Jean Marie","Lebbeke, Belgium",1953-12-04,19:30,AA,12°20′ Sagittarius,22°55′ Scorpio,22°22′ Cancer,"Pfaff was named goalkeeper of the 1986 FIFA World Cup, and he was the first player to receive the IFFHS World's Best Goalkeeper award in 1987.","https://www.astro.com/astro-databank/Pfaff,_Jean_Marie",goalkeeper
"Schmeichel, Peter","Copenhagen, Denmark",1963-11-18,12:30,A,25°24′ Scorpio,19°09′ Sagittarius,25°40′ Capricorn,"Regarded as one of the greatest goalkeepers of all time, he was voted the IFFHS World's Best Goalkeeper in 1992 and 1993, while the International Federation of Football History & Statistics ranked Schmeichel among the top 10 goalkeepers of the 20th century.","https://www.astro.com/astro-databank/Schmeichel,_Peter",goalkeeper
"Kahn, Oliver","Karlsruhe, Germany",1969-06-15,08:30,AA,24°01′ Gemini,27°50′ Gemini,12°32′ Leo,Kahn is one of the most successful German players in recent history,"https://www.astro.com/astro-databank/Kahn,_Oliver",goalkeeper
"Barthez, Fabien","Lavelanet, France",1971-06-28,10:00,AA,06°02′ Cancer,09°59′ Virgo,01°07′ Virgo,"French football (soccer) player, who won honours as a goalkeeper with Marseille, Manchester United and the French national team,","https://www.astro.com/astro-databank/Barthez,_Fabien",goalkeeper
"Buffon, Gianluigi","Carrara, Italy",1978-01-28,08:30,AA,08°01′ Aquarius,23°17′ Virgo,24°03′ Aquarius,He is widely considered by experts to be one of the most dominant and successful goalkeepers in history.,"https://www.astro.com/astro-databank/Buffon,_Gianluigi",goalkeeper
"Casillas, Iker","Madrid, Spain",1981-05-20,14:45,AA,29°24′ Taurus,16°11′ Sagittarius,10°39′ Virgo,"Spanish football goalkeeper popularly dubbed ""San Iker"" (""Saint Iker"") for his ability to produce spectacular saves.","https://www.astro.com/astro-databank/Casillas,_Iker",goalkeeper
"Courtois, Thibaut","Bree, Belgium",1992-05-11,13:15,A,21°01′ Taurus,14°54′ Virgo,27°26′ Leo,"Regarded as one of the greatest goalkeepers of all time, he is known for his reflexes, acrobatic saves, and command of the penalty area.","https://www.astro.com/astro-databank/Courtois,_Thibaut",goalkeeper
"Zoff, Dino","Mariano del Friuli, Italy",1942-02-28,04:30,AA,08°53′ Pisces,03°53′ Leo,01°31′ Capricorn,Italian football goalie and the oldest ever winner of the World Cup won in 1982 when Zoff was 40.,"https://www.astro.com/astro-databank/Zoff,_Dino",goalkeeper
"Maier, Sepp","Metten, Germany",1944-02-28,19:37,AA,09°04′ Pisces,13°26′ Taurus,29°44′ Virgo,"German footballer and team manager, a goal keeper for Bayern Munich from 1962-1979, and with the West German national team during the same period.","https://www.astro.com/astro-databank/Maier,_Sepp",goalkeeper
"Carbajal, Antonio","Mexico City, Mexico",1929-06-07,13:00,AA,16°30′ Gemini,19°30′ Gemini,22°00′ Virgo,"Mexican soccer goalkeeper nicknamed ""Tota"" and also called ""El Cinco Copas"" in reference to his record of five World Cups played.","https://www.astro.com/astro-databank/Carbajal,_Antonio",goalkeeper
"Peruzzi, Angelo","Viterbo, Italy",1970-02-16,12:00,AA,27°22′ Aquarius,04°21′ Cancer,16°50′ Gemini,"Italian football coach and goalkeeper who is regarded by pundits as one of the greatest Italian goalkeepers of all time, and as one of the best goalkeepers of his generation. He is a three-time winner of the Serie A Goalkeeper of the Year award.","https://www.astro.com/astro-databank/Peruzzi,_Angelo",goalkeeper
