Combination,GK_count,Outfield_count,p_value,Odds_Ratio
Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,12,2,0.004769170151985977,9.333333333333334
Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,16,5,0.006107224773226807,5.714285714285714
House 1-10 Connections + House 5-10 Connections,17,6,0.007274786783094239,5.230769230769231
Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 5-10 Connections,16,6,0.014980696048219267,4.571428571428571
Mars 2-5-10 House Relation + House 1-10 Connections + House 5-10 Connections,12,3,0.01533162169738991,6.0
Mercury-Uranus + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,6,0,0.023720703916957266,inf
Mercury-Uranus + Mars 2-5-10 House Relation + House 1-10 Connections + House 5-10 Connections,6,0,0.023720703916957266,inf
Mercury-Uranus + Mars 2-5-10 House Relation + House 2-5 Connections + House 5-10 Connections,8,1,0.025690734963116434,10.545454545454545
Mercury-Uranus + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 2-5 Connections + House 5-10 Connections,8,1,0.025690734963116434,10.545454545454545
Mars 2-5-10 House Relation + House 5-10 Connections,16,7,0.032594202939933606,3.7551020408163267
Specific Signs Asc/Asc Ruler + House 1-10 Connections,22,13,0.03521738569492147,3.5961538461538463
Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections,17,8,0.03521738569492147,3.5961538461538463
Mercury-Uranus + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 5-10 Connections,9,2,0.04190011890841873,6.0
Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,9,2,0.04190011890841873,6.0
Mercury-Uranus + Mars 2-5-10 House Relation + House 5-10 Connections,9,2,0.04190011890841873,6.0
Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 2-5 Connections + House 5-10 Connections,13,5,0.047022325948256706,3.823529411764706
Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,13,5,0.047022325948256706,3.823529411764706
